frequency,V(BPF) (Phase),V(BPF) (Verstärkung),
10,-90.0998,-44.0309,
10.2329,-90.0992,-43.8309,
10.4713,-90.0986,-43.6309,
10.7152,-90.0981,-43.4309,
10.9648,-90.0977,-43.2308,
11.2202,-90.0973,-43.0308,
11.4815,-90.0969,-42.8308,
11.749,-90.0966,-42.6308,
12.0226,-90.0964,-42.4308,
12.3027,-90.0962,-42.2307,
12.5893,-90.0961,-42.0307,
12.8825,-90.096,-41.8307,
13.1826,-90.096,-41.6307,
13.4896,-90.096,-41.4306,
13.8038,-90.096,-41.2306,
14.1254,-90.0962,-41.0306,
14.4544,-90.0963,-40.8305,
14.7911,-90.0966,-40.6305,
15.1356,-90.0968,-40.4305,
15.4882,-90.0971,-40.2304,
15.8489,-90.0975,-40.0304,
16.2181,-90.0979,-39.8304,
16.5959,-90.0984,-39.6303,
16.9824,-90.099,-39.4303,
17.378,-90.0995,-39.2302,
17.7828,-90.1002,-39.0302,
18.197,-90.1009,-38.8301,
18.6209,-90.1016,-38.6301,
19.0546,-90.1024,-38.43,
19.4984,-90.1032,-38.23,
19.9526,-90.1042,-38.0299,
20.4174,-90.1051,-37.8298,
20.893,-90.1061,-37.6298,
21.3796,-90.1072,-37.4297,
21.8776,-90.1083,-37.2296,
22.3872,-90.1095,-37.0295,
22.9087,-90.1108,-36.8295,
23.4423,-90.1121,-36.6294,
23.9883,-90.1134,-36.4293,
24.5471,-90.1149,-36.2292,
25.1189,-90.1163,-36.0291,
25.704,-90.1179,-35.829,
26.3027,-90.1195,-35.6289,
26.9153,-90.1212,-35.4288,
27.5423,-90.1229,-35.2287,
28.1838,-90.1247,-35.0285,
28.8403,-90.1266,-34.8284,
29.5121,-90.1285,-34.6283,
30.1995,-90.1305,-34.4281,
30.903,-90.1326,-34.228,
31.6228,-90.1347,-34.0278,
32.3594,-90.1369,-33.8277,
33.1131,-90.1392,-33.6275,
33.8844,-90.1416,-33.4273,
34.6737,-90.144,-33.2271,
35.4813,-90.1465,-33.027,
36.3078,-90.1491,-32.8268,
37.1535,-90.1518,-32.6265,
38.0189,-90.1546,-32.4263,
38.9045,-90.1574,-32.2261,
39.8107,-90.1603,-32.0258,
40.738,-90.1633,-31.8256,
41.6869,-90.1664,-31.6253,
42.658,-90.1696,-31.425,
43.6516,-90.1729,-31.2247,
44.6684,-90.1762,-31.0244,
45.7088,-90.1797,-30.8241,
46.7735,-90.1832,-30.6238,
47.863,-90.1869,-30.4234,
48.9779,-90.1906,-30.2231,
50.1187,-90.1945,-30.0227,
51.2861,-90.1984,-29.8223,
52.4807,-90.2025,-29.6218,
53.7032,-90.2067,-29.4214,
