frequency,V(BPF) (Phase),V(BPF) (Verstärkung),
54.9541,-90.2109,-29.2209,
56.2341,-90.2153,-29.0204,
57.544,-90.2198,-28.8199,
58.8844,-90.2245,-28.6194,
60.256,-90.2292,-28.4188,
61.6595,-90.2341,-28.2183,
63.0957,-90.2391,-28.0176,
64.5654,-90.2442,-27.817,
66.0693,-90.2494,-27.6163,
67.6083,-90.2548,-27.4156,
69.1831,-90.2603,-27.2149,
70.7946,-90.266,-27.0141,
72.4436,-90.2718,-26.8133,
74.131,-90.2778,-26.6125,
75.8578,-90.2839,-26.4116,
77.6247,-90.2901,-26.2107,
79.4328,-90.2965,-26.0097,
81.2831,-90.3031,-25.8087,
83.1764,-90.3098,-25.6076,
85.1138,-90.3168,-25.4065,
87.0964,-90.3238,-25.2053,
89.1251,-90.3311,-25.0041,
91.2011,-90.3385,-24.8028,
93.3254,-90.3461,-24.6015,
95.4993,-90.3539,-24.4001,
97.7237,-90.3619,-24.1986,
100,-90.3701,-23.997,
102.329,-90.3785,-23.7954,
104.713,-90.3871,-23.5937,
107.152,-90.3959,-23.392,
109.648,-90.405,-23.1901,
112.202,-90.4142,-22.9882,
114.815,-90.4237,-22.7861,
117.49,-90.4334,-22.584,
120.226,-90.4434,-22.3817,
123.027,-90.4536,-22.1794,
125.893,-90.464,-21.977,
128.825,-90.4747,-21.7744,
131.826,-90.4857,-21.5717,
134.896,-90.497,-21.3689,
138.038,-90.5085,-21.1659,
141.254,-90.5203,-20.9628,
144.544,-90.5324,-20.7596,
147.911,-90.5448,-20.5562,
151.356,-90.5575,-20.3527,
154.882,-90.5705,-20.1489,
158.489,-90.5839,-19.945,
162.181,-90.5976,-19.741,
165.959,-90.6116,-19.5367,
169.824,-90.626,-19.3322,
173.78,-90.6407,-19.1275,
177.828,-90.6558,-18.9226,
181.97,-90.6713,-18.7174,
186.209,-90.6872,-18.512,
190.546,-90.7035,-18.3064,
194.984,-90.7202,-18.1004,
199.526,-90.7373,-17.8942,
204.174,-90.7549,-17.6877,
208.93,-90.7729,-17.4809,
213.796,-90.7914,-17.2737,
218.776,-90.8104,-17.0662,
223.872,-90.8299,-16.8584,
229.087,-90.8498,-16.6502,
234.423,-90.8703,-16.4415,
239.883,-90.8914,-16.2325,
245.471,-90.913,-16.023,
251.189,-90.9351,-15.8131,
257.04,-90.9579,-15.6026,
263.027,-90.9813,-15.3917,
269.153,-91.0053,-15.1803,
275.423,-91.03,-14.9683,
281.838,-91.0554,-14.7557,
288.403,-91.0814,-14.5425,
295.121,-91.1082,-14.3286,
301.995,-91.1358,-14.1141,
309.03,-91.1641,-13.8989,
316.228,-91.1932,-13.6829,
323.594,-91.2232,-13.4661,
331.131,-91.2541,-13.2485,
338.844,-91.2858,-13.0301,
346.737,-91.3185,-12.8107,
354.813,-91.3522,-12.5904,
363.078,-91.3869,-12.369,
371.535,-91.4227,-12.1467,
380.189,-91.4595,-11.9231,
389.045,-91.4976,-11.6985,
398.107,-91.5368,-11.4725,
407.38,-91.5773,-11.2453,
416.869,-91.6191,-11.0167,
426.58,-91.6623,-10.7866,
436.516,-91.707,-10.5551,
446.684,-91.7531,-10.3219,
457.088,-91.8009,-10.087,
467.735,-91.8503,-9.85029,
478.63,-91.9015,-9.61172,
489.779,-91.9545,-9.37114,
501.187,-92.0096,-9.12845,
512.861,-92.0666,-8.88352,
524.807,-92.1259,-8.63623,
537.032,-92.1875,-8.38644,
549.541,-92.2515,-8.13399,
562.341,-92.3182,-7.87874,
575.44,-92.3876,-7.6205,
588.844,-92.46,-7.35911,
602.56,-92.5355,-7.09436,
616.595,-92.6144,-6.82605,
630.957,-92.6969,-6.55394,
645.654,-92.7832,-6.2778,
660.693,-92.8738,-5.99736,
676.083,-92.9688,-5.71233,
691.831,-93.0686,-5.4224,
707.946,-93.1737,-5.12724,
724.436,-93.2845,-4.82649,
741.31,-93.4014,-4.51974,
758.578,-93.5251,-4.20655,
776.247,-93.6561,-3.88645,
794.328,-93.7952,-3.55892,
812.831,-93.9431,-3.22338,
831.764,-94.1009,-2.87919,
851.138,-94.2695,-2.52563,
870.964,-94.4501,-2.16194,
891.251,-94.6443,-1.78722,
912.011,-94.8535,-1.4005,
933.254,-95.0798,-1.00068,
954.993,-95.3253,-0.586508,
977.237,-95.5928,-0.156574,
1000,-95.8854,0.290734,
1023.29,-96.2071,0.757263,
1047.13,-96.5624,1.24515,
1071.52,-96.9572,1.75686,
1096.48,-97.3986,2.2953,
1122.02,-97.8956,2.86389,
1148.15,-98.4596,3.46669,
1174.9,-99.1053,4.10857,
1202.26,-99.8522,4.79547,
1230.27,-100.726,5.53466,
1258.93,-101.763,6.33515,
1288.25,-103.014,7.20832,
1318.26,-104.549,8.16863,
1348.96,-106.48,9.23474,
1380.38,-108.974,10.4308,
1412.54,-112.309,11.7877,
1445.44,-116.961,13.3425,
1479.11,-123.787,15.1291,
1513.56,-134.36,17.1308,
1548.82,-151.197,19.1061,
1584.89,-175.665,20.2431,
1621.81,158.209,19.6394,
1659.59,138.737,17.8203,
1698.24,126.381,15.7798,
1737.8,118.523,13.9139,
1778.28,113.265,12.2844,
1819.7,109.554,10.8657,
1862.09,106.815,9.61964,
1905.46,104.717,8.51309,
1949.84,103.062,7.51974,
1995.26,101.724,6.61926,
2041.74,100.62,5.7959,
2089.3,99.6929,5.03736,
2137.96,98.9039,4.33391,
2187.76,98.2237,3.67774,
2238.72,97.631,3.06251,
2290.87,97.1095,2.48303,
2344.23,96.6469,1.93497,
2398.83,96.2334,1.41473,
2454.71,95.8613,0.91924,
2511.89,95.5245,0.445892,
2570.4,95.2179,-0.00755136,
2630.27,94.9375,-0.443028,
2691.53,94.6797,-0.862224,
2754.23,94.4418,-1.26662,
2818.38,94.2214,-1.6575,
2884.03,94.0164,-2.03602,
2951.21,93.8252,-2.40321,
3019.95,93.6462,-2.75996,
3090.3,93.4781,-3.1071,
3162.28,93.32,-3.44535,
3235.94,93.1707,-3.77538,
3311.31,93.0294,-4.09778,
3388.44,92.8955,-4.4131,
3467.37,92.7682,-4.72183,
3548.13,92.647,-5.0244,
3630.78,92.5313,-5.32125,
3715.35,92.4206,-5.61274,
3801.89,92.3146,-5.89922,
3890.45,92.213,-6.181,
3981.07,92.1152,-6.45838,
4073.8,92.0211,-6.73164,
4168.69,91.9304,-7.00101,
4265.8,91.8427,-7.26673,
4365.16,91.758,-7.52902,
4466.84,91.6759,-7.78808,
4570.88,91.5963,-8.04409,
4677.35,91.519,-8.29723,
4786.3,91.4438,-8.54765,
4897.79,91.3707,-8.79551,
5011.87,91.2994,-9.04095,
5128.61,91.2298,-9.28409,
5248.07,91.1618,-9.52508,
5370.32,91.0953,-9.76401,
5495.41,91.0301,-10.001,
5623.41,90.9663,-10.2361,
5754.4,90.9037,-10.4695,
5888.44,90.8421,-10.7013,
6025.6,90.7816,-10.9315,
6165.95,90.7221,-11.1601,
6309.57,90.6634,-11.3874,
6456.54,90.6056,-11.6133,
6606.93,90.5484,-11.838,
6760.83,90.492,-12.0614,
6918.31,90.4362,-12.2837,
7079.46,90.381,-12.5048,
7244.36,90.3262,-12.7249,
7413.1,90.272,-12.944,
7585.78,90.2181,-13.1622,
7762.47,90.1646,-13.3794,
7943.28,90.1115,-13.5958,
8128.31,90.0586,-13.8114,
8317.64,90.0059,-14.0261,
8511.38,89.9534,-14.2401,
8709.64,89.9011,-14.4534,
8912.51,89.8489,-14.666,
9120.11,89.7967,-14.8779,
9332.54,89.7446,-15.0892,
9549.93,89.6924,-15.2999,
9772.37,89.6403,-15.51,
10000,89.588,-15.7195,
