Frequency [Hz], Amplitude [dB], Phase [deg]
10, -20.007019, 176.170074
10.476157527896646, -20.010426, 176.000885
10.974987654930562, -20.012159, 175.846741
11.497569953977356, -20.018322, 175.635101
12.045035402587823, -20.013596, 175.421143
12.618568830660204, -20.01685, 175.177963
13.219411484660288, -20.025518, 174.895615
13.848863713938732, -20.026579, 174.727493
14.508287784959395, -20.034563, 174.474533
15.199110829529339, -20.039137, 174.187683
15.922827933410922, -20.043695, 173.839432
16.68100537200059, -20.041264, 173.554001
17.47528400007684, -20.043423, 173.316116
18.30738280295368, -20.047737, 172.997589
19.179102616724887, -20.054178, 172.613785
20.09233002565047, -20.070381, 172.241287
21.049041445120206, -20.079992, 171.847626
22.051307399030456, -20.074837, 171.476273
23.101297000831604, -20.0933, 171.064789
24.20128264794382, -20.101671, 170.611084
25.353644939701113, -20.113184, 170.186935
26.560877829466868, -20.131502, 169.698196
27.825594022071243, -20.139366, 169.173676
29.150530628251772, -20.15523, 168.636902
30.538555088334157, -20.17845, 168.015732
31.992671377973846, -20.19248, 167.432541
33.516026509388425, -20.209732, 166.826828
35.11191734215131, -20.239384, 166.134888
36.783797718286344, -20.266525, 165.427277
38.53528593710529, -20.295603, 164.701721
40.37017258596554, -20.332775, 163.888474
42.29242874389499, -20.367891, 163.022583
44.30621457583882, -20.408566, 162.127411
46.4158883361278, -20.44964, 161.164749
48.62601580065353, -20.497751, 160.245575
50.9413801481638, -20.589407, 159.17659
53.3669923120631, -20.63777, 157.925949
55.90810182512222, -20.728355, 156.694519
58.570208180566674, -20.811256, 155.374207
61.35907273413176, -20.90472, 153.927414
64.28073117284322, -21.015789, 152.459381
67.34150657750821, -21.141203, 150.742249
70.54802310718645, -21.292286, 148.965134
73.90722033525779, -21.461998, 147.043793
77.4263682681127, -21.661509, 144.901031
81.11308307896873, -21.907866, 142.691467
84.97534359086447, -22.201965, 140.168732
89.02150854450389, -22.565346, 137.477173
93.26033468832199, -23.007099, 134.774673
97.70099572992257, -23.475437, 131.470917
102.35310218990269, -24.066788, 128.135208
107.22672220103232, -24.794035, 124.382965
112.33240329780277, -25.765934, 120.324722
117.68119524349991, -27.013857, 115.97567
123.28467394420659, -28.561914, 111.259758
129.1549665014884, -30.75783, 106.584572
135.30477745798075, -34.151985, 101.850296
141.74741629268047, -39.25671, 97.123207
148.4968262254465, -52.823299, 100.490227
155.56761439304722, -42.286133, -98.083748
162.97508346206433, -35.861046, -102.663445
170.7352647470692, -31.84911, -107.520256
178.8649529057435, -29.362972, -112.285957
187.3817422860385, -27.575775, -117.071106
196.30406500402725, -26.248226, -121.480652
205.65123083486515, -25.168537, -125.642685
215.44346900318845, -24.364338, -129.489731
225.70197196339214, -23.731005, -133.06369
236.4489412645407, -23.236469, -136.400589
247.70763559917114, -22.798561, -139.448959
259.5024211399737, -22.410675, -142.15802
271.85882427329403, -22.095385, -144.819427
284.8035868435802, -21.8382, -147.265732
298.364724028334, -21.626385, -149.444595
312.5715849688235, -21.463734, -151.506927
327.4549162877732, -21.316467, -153.351334
343.04692863149194, -21.200068, -155.076279
359.38136638046257, -21.091942, -156.75882
376.49358067924715, -20.99474, -158.311859
394.4206059437656, -20.922346, -159.754868
413.20124001153386, -20.852148, -161.076126
432.87612810830615, -20.793278, -162.386322
453.4878508128582, -20.752821, -163.590317
475.0810162102798, -20.705835, -164.744095
497.7023564332114, -20.672396, -165.744537
521.4008287999684, -20.648815, -166.772476
546.2277217684342, -20.630568, -167.786682
572.236765935022, -20.608187, -168.622559
599.4842503189409, -20.607368, -169.516388
628.029144183426, -20.605377, -170.322205
657.9332246575682, -20.603876, -171.089539
689.2612104349695, -20.599424, -171.814804
722.0809018385471, -20.59907, -172.441589
756.463327554629, -20.624582, -173.072571
792.4828983539178, -20.63035, -173.672409
830.2175681319752, -20.659042, -174.290115
869.7490026177834, -20.670921, -174.824356
911.1627561154896, -20.692799, -175.321671
954.5484566618347, -20.7125, -175.798553
1000, -20.725914, -176.285782
