Frequency [Hz], Amplitude [dB], Phase [deg]
10, -49.843578, 175.766251
12.115276586285882, -46.301544, 174.541046
14.677992676220699, -42.800293, 173.866333
17.78279410038923, -38.354778, 173.340439
21.544346900318832, -35.229515, 171.724304
26.10157215682536, -31.962473, 170.501785
31.622776601683793, -28.705276, 168.186966
38.311868495572874, -25.224586, 165.805984
46.41588833612777, -21.402233, 162.627029
56.23413251903491, -17.908909, 158.466904
68.12920690579611, -14.374559, 152.962051
82.54041852680182, -10.75692, 145.475113
100, -7.156386, 135.082855
121.15276586285876, -3.727161, 120.362869
146.7799267622069, -0.940854, 100.863991
177.82794100389228, 0.738008, 78.87117
215.44346900318823, 1.265044, 59.379036
261.0157215682536, 1.179437, 44.784943
316.22776601683796, 0.923395, 34.404133
383.1186849557285, 0.665559, 26.893408
464.15888336127773, 0.462802, 21.43519
562.341325190349, 0.315252, 17.298424
681.2920690579608, 0.206497, 14.028937
825.4041852680182, 0.129377, 11.499825
1000, 0.078361, 9.458487
