frequency,V(BSF) (Phase),V(BSF) (Verstärkung),
66.0693,179.759,-0.000209529,
67.6083,179.753,-0.000213128,
69.1831,179.747,-0.000216898,
70.7946,179.741,-0.000220847,
72.4436,179.735,-0.000224983,
74.131,179.729,-0.000229316,
75.8578,179.723,-0.000233855,
77.6247,179.716,-0.00023861,
79.4328,179.71,-0.000243591,
81.2831,179.703,-0.000248809,
83.1764,179.696,-0.000254275,
85.1138,179.689,-0.000260002,
87.0964,179.681,-0.000266002,
89.1251,179.674,-0.000272288,
91.2011,179.666,-0.000278874,
93.3254,179.658,-0.000285774,
95.4993,179.65,-0.000293004,
97.7237,179.642,-0.00030058,
100,179.634,-0.000308518,
102.329,179.625,-0.000316835,
104.713,179.616,-0.000325552,
107.152,179.607,-0.000334685,
109.648,179.598,-0.000344258,
112.202,179.589,-0.000354289,
114.815,179.579,-0.000364803,
117.49,179.569,-0.000375823,
120.226,179.559,-0.000387373,
123.027,179.549,-0.000399479,
125.893,179.538,-0.00041217,
128.825,179.527,-0.000425473,
131.826,179.516,-0.00043942,
134.896,179.504,-0.000454042,
138.038,179.493,-0.000469373,
141.254,179.481,-0.000485448,
144.544,179.468,-0.000502303,
147.911,179.456,-0.00051998,
151.356,179.443,-0.000538518,
154.882,179.43,-0.00055796,
158.489,179.416,-0.000578354,
162.181,179.402,-0.000599746,
165.959,179.388,-0.000622188,
169.824,179.374,-0.000645734,
173.78,179.359,-0.000670439,
177.828,179.343,-0.000696364,
181.97,179.328,-0.000723571,
186.209,179.312,-0.000752127,
190.546,179.295,-0.000782102,
194.984,179.278,-0.00081357,
199.526,179.261,-0.00084661,
204.174,179.243,-0.000881304,
208.93,179.225,-0.000917741,
213.796,179.206,-0.000956013,
218.776,179.187,-0.000996218,
223.872,179.167,-0.00103846,
229.087,179.147,-0.00108285,
234.423,179.126,-0.00112951,
239.883,179.105,-0.00117856,
245.471,179.083,-0.00123012,
251.189,179.061,-0.00128435,
257.04,179.038,-0.00134139,
263.027,179.014,-0.0014014,
269.153,178.99,-0.00146455,
275.423,178.965,-0.00153102,
281.838,178.939,-0.00160099,
288.403,178.913,-0.00167468,
295.121,178.886,-0.00175231,
301.995,178.858,-0.0018341,
309.03,178.829,-0.0019203,
316.228,178.8,-0.00201119,
323.594,178.77,-0.00210704,
331.131,178.738,-0.00220817,
338.844,178.706,-0.0023149,
346.737,178.673,-0.00242759,
354.813,178.639,-0.00254662,
363.078,178.604,-0.0026724,
371.535,178.568,-0.00280536,
380.189,178.531,-0.00294599,
389.045,178.492,-0.0030948,
398.107,178.452,-0.00325235,
407.38,178.411,-0.00341924,
416.869,178.369,-0.00359612,
426.58,178.325,-0.0037837,
436.516,178.28,-0.00398276,
446.684,178.234,-0.00419414,
457.088,178.185,-0.00441876,
467.735,178.135,-0.00465762,
478.63,178.083,-0.00491182,
489.779,178.03,-0.00518257,
501.187,177.974,-0.00547119,
512.861,177.916,-0.00577913,
524.807,177.856,-0.00610801,
537.032,177.793,-0.0064596,
549.541,177.728,-0.00683587,
562.341,177.661,-0.00723901,
575.44,177.59,-0.00767143,
588.844,177.517,-0.00813586,
602.56,177.44,-0.00863532,
616.595,177.36,-0.00917321,
630.957,177.276,-0.00975335,
645.654,177.188,-0.01038,
660.693,177.096,-0.0110581,
676.083,177,-0.0117932,
691.831,176.898,-0.0125915,
707.946,176.791,-0.0134601,
724.436,176.678,-0.0144075,
741.31,176.559,-0.0154429,
758.578,176.433,-0.0165774,
776.247,176.3,-0.0178237,
794.328,176.158,-0.0191966,
812.831,176.007,-0.0207135,
831.764,175.846,-0.0223949,
851.138,175.673,-0.0242651,
870.964,175.489,-0.026353,
891.251,175.29,-0.0286934,
912.011,175.076,-0.0313283,
933.254,174.845,-0.0343087,
954.993,174.593,-0.0376975,
977.237,174.319,-0.0415724,
1000,174.019,-0.0460304,
1023.29,173.69,-0.0511944,
1047.13,173.325,-0.0572211,
1071.52,172.92,-0.0643137,
1096.48,172.466,-0.0727386,
1122.02,171.956,-0.0828509,
1148.15,171.376,-0.0951327,
1174.9,170.712,-0.110251,
1202.26,169.943,-0.129149,
1230.27,169.043,-0.153195,
1258.93,167.974,-0.184439,
1288.25,166.685,-0.226047,
1318.26,165.101,-0.283125,
1348.96,163.108,-0.364315,
1380.38,160.529,-0.485126,
1412.54,157.076,-0.675508,
1445.44,152.249,-0.998821,
1479.11,145.136,-1.60561,
1513.56,134.007,-2.91121,
1548.82,115.653,-6.33025,
1584.89,71.8113,-21.7454,
1621.81,-107.123,-8.57765,
1659.59,-129.048,-3.60873,
1698.24,-142.13,-1.87999,
1737.8,-150.335,-1.12207,
1778.28,-155.795,-0.735379,
1819.7,-159.636,-0.515078,
1862.09,-162.468,-0.378847,
1905.46,-164.633,-0.289179,
1949.84,-166.34,-0.227214,
1995.26,-167.719,-0.182697,
2041.74,-168.855,-0.149687,
2089.3,-169.807,-0.124559,
2137.96,-170.618,-0.105005,
2187.76,-171.315,-0.0895001,
2238.72,-171.923,-0.0770057,
2290.87,-172.456,-0.0667945,
2344.23,-172.929,-0.0583457,
2398.83,-173.35,-0.0512785,
2454.71,-173.729,-0.0453094,
2511.89,-174.072,-0.0402236,
2570.4,-174.383,-0.0358566,
2630.27,-174.667,-0.03208,
2691.53,-174.927,-0.0287931,
2754.23,-175.167,-0.0259154,
2818.38,-175.388,-0.0233826,
2884.03,-175.594,-0.0211423,
2951.21,-175.785,-0.0191516,
3019.95,-175.964,-0.0173755,
3090.3,-176.131,-0.0157845,
3162.28,-176.287,-0.0143543,
3235.94,-176.435,-0.0130643,
3311.31,-176.573,-0.0118971,
3388.44,-176.705,-0.010838,
3467.37,-176.829,-0.00987442,
3548.13,-176.947,-0.00899544,
3630.78,-177.058,-0.00819175,
3715.35,-177.165,-0.00745527,
3801.89,-177.266,-0.00677897,
3890.45,-177.363,-0.00615671,
3981.07,-177.456,-0.00558311,
4073.8,-177.544,-0.00505345,
4168.69,-177.629,-0.00456357,
4265.8,-177.711,-0.00410979,
4365.16,-177.789,-0.00368883,
4466.84,-177.865,-0.00329779,
4570.88,-177.938,-0.00293408,
4677.35,-178.008,-0.00259538,
4786.3,-178.075,-0.00227961,
4897.79,-178.141,-0.0019849,
5011.87,-178.204,-0.00170959,
5128.61,-178.265,-0.00145213,
5248.07,-178.324,-0.00121118,
5370.32,-178.382,-0.000985481,
5495.41,-178.438,-0.000773909,
5623.41,-178.492,-0.000575438,
5754.4,-178.545,-0.000389134,
5888.44,-178.596,-0.000214146,
6025.6,-178.646,-4.96941e-05,
6165.95,-178.694,0.000104934,
6309.57,-178.742,0.00025039,
6456.54,-178.788,0.000387275,
6606.93,-178.834,0.000516139,
6760.83,-178.878,0.000637488,
6918.31,-178.921,0.000751789,
7079.46,-178.963,0.000859471,
7244.36,-179.005,0.000960933,
7413.1,-179.046,0.00105654,
7585.78,-179.085,0.00114663,
7762.47,-179.125,0.00123153,
7943.28,-179.163,0.00131151,
8128.31,-179.201,0.00138684,
8317.64,-179.238,0.00145779,
8511.38,-179.274,0.00152458,
8709.64,-179.31,0.00158742,
8912.51,-179.346,0.00164651,
9120.11,-179.381,0.00170204,
9332.54,-179.415,0.00175418,
9549.93,-179.449,0.00180309,
9772.37,-179.483,0.00184892,
10000,-179.516,0.0018918,
