frequency,V(BSF) (Phase),V(BSF) (Verstärkung),
10,179.964,-0.000135164,
10.2329,179.963,-0.000135245,
10.4713,179.962,-0.000135331,
10.7152,179.961,-0.000135421,
10.9648,179.96,-0.000135515,
11.2202,179.959,-0.000135614,
11.4815,179.958,-0.000135717,
11.749,179.957,-0.000135825,
12.0226,179.956,-0.000135938,
12.3027,179.955,-0.000136056,
12.5893,179.954,-0.00013618,
12.8825,179.953,-0.00013631,
13.1826,179.952,-0.000136446,
13.4896,179.951,-0.000136588,
13.8038,179.95,-0.000136737,
14.1254,179.948,-0.000136893,
14.4544,179.947,-0.000137057,
14.7911,179.946,-0.000137228,
15.1356,179.945,-0.000137407,
15.4882,179.944,-0.000137595,
15.8489,179.942,-0.000137791,
16.2181,179.941,-0.000137997,
16.5959,179.939,-0.000138213,
16.9824,179.938,-0.000138438,
17.378,179.937,-0.000138675,
17.7828,179.935,-0.000138922,
18.197,179.934,-0.000139181,
18.6209,179.932,-0.000139452,
19.0546,179.93,-0.000139737,
19.4984,179.929,-0.000140034,
19.9526,179.927,-0.000140346,
20.4174,179.926,-0.000140672,
20.893,179.924,-0.000141013,
21.3796,179.922,-0.000141371,
21.8776,179.92,-0.000141746,
22.3872,179.918,-0.000142138,
22.9087,179.916,-0.000142549,
23.4423,179.914,-0.000142979,
23.9883,179.912,-0.000143429,
24.5471,179.91,-0.000143901,
25.1189,179.908,-0.000144395,
25.704,179.906,-0.000144912,
26.3027,179.904,-0.000145454,
26.9153,179.902,-0.000146021,
27.5423,179.9,-0.000146615,
28.1838,179.897,-0.000147237,
28.8403,179.895,-0.000147888,
29.5121,179.892,-0.00014857,
30.1995,179.89,-0.000149284,
30.903,179.887,-0.000150032,
31.6228,179.885,-0.000150815,
32.3594,179.882,-0.000151636,
33.1131,179.879,-0.000152495,
33.8844,179.876,-0.000153394,
34.6737,179.873,-0.000154336,
35.4813,179.871,-0.000155322,
36.3078,179.867,-0.000156355,
37.1535,179.864,-0.000157437,
38.0189,179.861,-0.00015857,
38.9045,179.858,-0.000159756,
39.8107,179.855,-0.000160999,
40.738,179.851,-0.0001623,
41.6869,179.848,-0.000163662,
42.658,179.844,-0.000165089,
43.6516,179.841,-0.000166584,
44.6684,179.837,-0.000168149,
45.7088,179.833,-0.000169788,
46.7735,179.829,-0.000171504,
47.863,179.825,-0.000173302,
48.9779,179.821,-0.000175185,
50.1187,179.817,-0.000177157,
51.2861,179.813,-0.000179222,
52.4807,179.808,-0.000181385,
53.7032,179.804,-0.00018365,
54.9541,179.799,-0.000186022,
56.2341,179.795,-0.000188507,
57.544,179.79,-0.000191109,
58.8844,179.785,-0.000193835,
60.256,179.78,-0.00019669,
61.6595,179.775,-0.00019968,
63.0957,179.77,-0.000202812,
64.5654,179.764,-0.000206093,
