frequency,V(BPF) (Phase),V(BPF) (Verstärkung),V(BSF) (Phase),V(BSF) (Verstärkung),V(HPF) (Phase),V(HPF) (Verstärkung),V(LPF) (Phase),V(LPF) (Verstärkung),
100,-90.3701,-23.997,179.634,-0.000308518,179.627,-48.0287,-0.366178,0.0340903,
102.329,-90.3785,-23.7954,179.625,-0.000316835,179.619,-47.6271,-0.374775,0.0357065,
104.713,-90.3871,-23.5937,179.616,-0.000325552,179.61,-47.2254,-0.383576,0.0373992,
107.152,-90.3959,-23.392,179.607,-0.000334685,179.601,-46.8236,-0.392587,0.039172,
109.648,-90.405,-23.1901,179.598,-0.000344258,179.593,-46.4218,-0.401814,0.0410288,
112.202,-90.4142,-22.9882,179.589,-0.000354289,179.584,-46.0198,-0.411262,0.0429735,
114.815,-90.4237,-22.7861,179.579,-0.000364803,179.574,-45.6178,-0.420936,0.0450103,
117.49,-90.4334,-22.584,179.569,-0.000375823,179.565,-45.2157,-0.430842,0.0471436,
120.226,-90.4434,-22.3817,179.559,-0.000387373,179.555,-44.8134,-0.440987,0.049378,
123.027,-90.4536,-22.1794,179.549,-0.000399479,179.545,-44.4111,-0.451375,0.0517183,
125.893,-90.464,-21.977,179.538,-0.00041217,179.535,-44.0086,-0.462014,0.0541695,
128.825,-90.4747,-21.7744,179.527,-0.000425473,179.524,-43.6061,-0.47291,0.0567371,
131.826,-90.4857,-21.5717,179.516,-0.00043942,179.513,-43.2034,-0.484069,0.0594264,
134.896,-90.497,-21.3689,179.504,-0.000454042,179.502,-42.8006,-0.495499,0.0622434,
138.038,-90.5085,-21.1659,179.493,-0.000469373,179.491,-42.3976,-0.507205,0.0651941,
141.254,-90.5203,-20.9628,179.481,-0.000485448,179.479,-41.9945,-0.519197,0.0682849,
144.544,-90.5324,-20.7596,179.468,-0.000502303,179.467,-41.5913,-0.53148,0.0715226,
147.911,-90.5448,-20.5562,179.456,-0.00051998,179.455,-41.1879,-0.544064,0.0749141,
151.356,-90.5575,-20.3527,179.443,-0.000538518,179.442,-40.7843,-0.556955,0.0784669,
154.882,-90.5705,-20.1489,179.43,-0.00055796,179.429,-40.3806,-0.570163,0.0821886,
158.489,-90.5839,-19.945,179.416,-0.000578354,179.416,-39.9767,-0.583695,0.0860875,
162.181,-90.5976,-19.741,179.402,-0.000599746,179.403,-39.5726,-0.59756,0.0901719,
165.959,-90.6116,-19.5367,179.388,-0.000622188,179.389,-39.1684,-0.611768,0.0944509,
169.824,-90.626,-19.3322,179.374,-0.000645734,179.375,-38.7639,-0.626328,0.0989338,
173.78,-90.6407,-19.1275,179.359,-0.000670439,179.36,-38.3592,-0.641249,0.10363,
177.828,-90.6558,-18.9226,179.343,-0.000696364,179.345,-37.9543,-0.656543,0.108551,
181.97,-90.6713,-18.7174,179.328,-0.000723571,179.33,-37.5491,-0.672218,0.113707,
186.209,-90.6872,-18.512,179.312,-0.000752127,179.314,-37.1437,-0.688287,0.119108,
190.546,-90.7035,-18.3064,179.295,-0.000782102,179.298,-36.738,-0.704759,0.124768,
194.984,-90.7202,-18.1004,179.278,-0.00081357,179.281,-36.3321,-0.721648,0.130699,
199.526,-90.7373,-17.8942,179.261,-0.00084661,179.264,-35.9259,-0.738964,0.136913,
204.174,-90.7549,-17.6877,179.243,-0.000881304,179.247,-35.5194,-0.756721,0.143425,
208.93,-90.7729,-17.4809,179.225,-0.000917741,179.229,-35.1126,-0.774931,0.150249,
213.796,-90.7914,-17.2737,179.206,-0.000956013,179.211,-34.7054,-0.793608,0.1574,
218.776,-90.8104,-17.0662,179.187,-0.000996218,179.192,-34.2979,-0.812766,0.164895,
223.872,-90.8299,-16.8584,179.167,-0.00103846,179.173,-33.8901,-0.83242,0.17275,
229.087,-90.8498,-16.6502,179.147,-0.00108285,179.153,-33.4818,-0.852584,0.180982,
234.423,-90.8703,-16.4415,179.126,-0.00112951,179.133,-33.0732,-0.873276,0.189611,
239.883,-90.8914,-16.2325,179.105,-0.00117856,179.112,-32.6642,-0.89451,0.198655,
245.471,-90.913,-16.023,179.083,-0.00123012,179.09,-32.2547,-0.916305,0.208136,
251.189,-90.9351,-15.8131,179.061,-0.00128435,179.068,-31.8447,-0.938679,0.218074,
257.04,-90.9579,-15.6026,179.038,-0.00134139,179.046,-31.4343,-0.96165,0.228493,
263.027,-90.9813,-15.3917,179.014,-0.0014014,179.022,-31.0234,-0.985238,0.239416,
269.153,-91.0053,-15.1803,178.99,-0.00146455,178.999,-30.612,-1.00946,0.250869,
275.423,-91.03,-14.9683,178.965,-0.00153102,178.974,-30.2,-1.03435,0.262877,
281.838,-91.0554,-14.7557,178.939,-0.00160099,178.949,-29.7874,-1.05992,0.275469,
288.403,-91.0814,-14.5425,178.913,-0.00167468,178.923,-29.3742,-1.08619,0.288674,
295.121,-91.1082,-14.3286,178.886,-0.00175231,178.896,-28.9603,-1.11319,0.302523,
301.995,-91.1358,-14.1141,178.858,-0.0018341,178.869,-28.5458,-1.14095,0.317047,
309.03,-91.1641,-13.8989,178.829,-0.0019203,178.841,-28.1306,-1.1695,0.332282,
316.228,-91.1932,-13.6829,178.8,-0.00201119,178.812,-27.7146,-1.19886,0.348263,
323.594,-91.2232,-13.4661,178.77,-0.00210704,178.782,-27.2978,-1.22906,0.365029,
331.131,-91.2541,-13.2485,178.738,-0.00220817,178.752,-26.8802,-1.26013,0.382619,
338.844,-91.2858,-13.0301,178.706,-0.0023149,178.72,-26.4618,-1.29212,0.401077,
346.737,-91.3185,-12.8107,178.673,-0.00242759,178.688,-26.0424,-1.32505,0.420445,
354.813,-91.3522,-12.5904,178.639,-0.00254662,178.654,-25.6221,-1.35897,0.440773,
363.078,-91.3869,-12.369,178.604,-0.0026724,178.62,-25.2007,-1.39391,0.462108,
371.535,-91.4227,-12.1467,178.568,-0.00280536,178.584,-24.7784,-1.42992,0.484506,
380.189,-91.4595,-11.9231,178.531,-0.00294599,178.547,-24.3548,-1.46704,0.50802,
389.045,-91.4976,-11.6985,178.492,-0.0030948,178.51,-23.9302,-1.50532,0.53271,
398.107,-91.5368,-11.4725,178.452,-0.00325235,178.471,-23.5042,-1.54481,0.558638,
407.38,-91.5773,-11.2453,178.411,-0.00341924,178.43,-23.077,-1.58556,0.58587,
416.869,-91.6191,-11.0167,178.369,-0.00359612,178.389,-22.6484,-1.62764,0.614477,
426.58,-91.6623,-10.7866,178.325,-0.0037837,178.346,-22.2183,-1.67111,0.644532,
436.516,-91.707,-10.5551,178.28,-0.00398276,178.301,-21.7868,-1.71603,0.676114,
446.684,-91.7531,-10.3219,178.234,-0.00419414,178.255,-21.3536,-1.76247,0.709306,
457.088,-91.8009,-10.087,178.185,-0.00441876,178.208,-20.9187,-1.81051,0.744198,
467.735,-91.8503,-9.85029,178.135,-0.00465762,178.159,-20.482,-1.86022,0.780883,
478.63,-91.9015,-9.61172,178.083,-0.00491182,178.108,-20.0434,-1.91171,0.819463,
489.779,-91.9545,-9.37114,178.03,-0.00518257,178.055,-19.6029,-1.96506,0.860042,
501.187,-92.0096,-9.12845,177.974,-0.00547119,178,-19.1602,-2.02038,0.902736,
512.861,-92.0666,-8.88352,177.916,-0.00577913,177.944,-18.7153,-2.07776,0.947665,
524.807,-92.1259,-8.63623,177.856,-0.00610801,177.885,-18.268,-2.13735,0.994959,
537.032,-92.1875,-8.38644,177.793,-0.0064596,177.823,-17.8182,-2.19925,1.04476,
549.541,-92.2515,-8.13399,177.728,-0.00683587,177.76,-17.3657,-2.26362,1.0972,
562.341,-92.3182,-7.87874,177.661,-0.00723901,177.693,-16.9105,-2.3306,1.15246,
575.44,-92.3876,-7.6205,177.59,-0.00767143,177.624,-16.4523,-2.40036,1.2107,
588.844,-92.46,-7.35911,177.517,-0.00813586,177.552,-15.9909,-2.47308,1.27209,
602.56,-92.5355,-7.09436,177.44,-0.00863532,177.477,-15.5261,-2.54896,1.33685,
616.595,-92.6144,-6.82605,177.36,-0.00917321,177.398,-15.0578,-2.62822,1.40516,
630.957,-92.6969,-6.55394,177.276,-0.00975335,177.316,-14.5857,-2.71109,1.47728,
645.654,-92.7832,-6.2778,177.188,-0.01038,177.23,-14.1096,-2.79784,1.55342,
660.693,-92.8738,-5.99736,177.096,-0.0110581,177.14,-13.6291,-2.88875,1.63387,
676.083,-92.9688,-5.71233,177,-0.0117932,177.045,-13.1441,-2.98416,1.71891,
691.831,-93.0686,-5.4224,176.898,-0.0125915,176.946,-12.6542,-3.08441,1.80884,
707.946,-93.1737,-5.12724,176.791,-0.0134601,176.841,-12.159,-3.1899,1.904,
724.436,-93.2845,-4.82649,176.678,-0.0144075,176.731,-11.6583,-3.30108,2.00476,
741.31,-93.4014,-4.51974,176.559,-0.0154429,176.614,-11.1515,-3.41843,2.11152,
758.578,-93.5251,-4.20655,176.433,-0.0165774,176.491,-10.6384,-3.54253,2.22471,
776.247,-93.6561,-3.88645,176.3,-0.0178237,176.36,-10.1183,-3.67399,2.34481,
794.328,-93.7952,-3.55892,176.158,-0.0191966,176.222,-9.59074,-3.81352,2.47235,
812.831,-93.9431,-3.22338,176.007,-0.0207135,176.074,-9.05521,-3.96194,2.6079,
831.764,-94.1009,-2.87919,175.846,-0.0223949,175.917,-8.51102,-4.12016,2.7521,
851.138,-94.2695,-2.52563,175.673,-0.0242651,175.749,-7.95747,-4.28924,2.90566,
