Frequency [Hz], Amplitude [dB], Phase [deg]
100, -0.011376, -0.317722
104.76157527896652, -0.003569, -0.337012
109.74987654930557, -0.001331, -0.344812
114.97569953977356, 0.004035, -0.376733
120.45035402587824, 0.007331, -0.392053
126.1856883066021, 0.011088, -0.420125
132.19411484660287, 0.017424, -0.453497
138.48863713938732, 0.021529, -0.462322
145.082877849594, 0.028088, -0.505338
151.99110829529332, 0.033927, -0.530241
159.22827933410923, 0.040883, -0.532686
166.81005372000593, 0.05032, -0.563764
174.7528400007683, 0.058959, -0.589999
183.07382802953677, 0.067924, -0.612104
191.79102616724887, 0.07683, -0.634123
200.9233002565048, 0.091578, -0.669483
210.49041445120199, 0.106929, -0.701341
220.51307399030455, 0.118355, -0.756047
231.01297000831605, 0.140819, -0.786223
242.01282647943833, 0.152755, -0.841944
253.53644939701115, 0.172191, -0.88507
265.6087782946687, 0.196816, -0.928243
278.2559402207126, 0.219179, -0.957995
291.50530628251755, 0.247193, -1.045405
305.3855508833416, 0.272222, -1.086311
319.92671377973846, 0.305332, -1.133067
335.1602650938841, 0.341224, -1.234243
351.1191734215131, 0.37748, -1.294553
367.8379771828634, 0.419318, -1.362671
385.3528593710527, 0.47092, -1.388712
403.70172585965537, 0.52233, -1.482783
422.9242874389499, 0.578944, -1.596721
443.0621457583882, 0.641663, -1.685172
464.1588833612782, 0.713547, -1.785589
486.26015800653533, 0.796256, -1.885155
509.413801481638, 0.88381, -2.026059
533.6699231206312, 0.983478, -2.142863
559.0810182512223, 1.087562, -2.315366
585.7020818056667, 1.210323, -2.428925
613.5907273413176, 1.347425, -2.624275
642.807311728432, 1.491459, -2.823327
673.4150657750821, 1.661515, -3.057015
705.4802310718645, 1.851824, -3.291502
739.0722033525775, 2.069671, -3.561561
774.263682681127, 2.309723, -3.875405
811.1308307896873, 2.588684, -4.278103
849.7534359086446, 2.903984, -4.696069
890.2150854450392, 3.268397, -5.216072
932.60334688322, 3.686005, -5.828296
977.0099572992257, 4.178717, -6.573967
1023.5310218990269, 4.758507, -7.5318
1072.2672220103232, 5.452872, -8.770432
1123.3240329780276, 6.298494, -10.441324
1176.811952434999, 7.363708, -12.828778
1232.8467394420659, 8.74166, -16.570667
1291.549665014884, 10.647991, -23.264717
1353.0477745798075, 13.461477, -39.003941
1417.4741629268049, 15.431559, -78.645096
1484.9682622544651, 15.084713, -108.316063
1555.6761439304723, 13.656007, -125.756668
1629.7508346206434, 11.532513, -139.394089
1707.352647470692, 9.411329, -148.641068
1788.649529057435, 7.378471, -154.979156
1873.817422860385, 5.481686, -159.474625
1963.0406500402723, 3.726888, -162.75415
2056.5123083486515, 2.099404, -165.222626
2154.4346900318847, 0.577375, -167.051071
2257.0197196339213, -0.845189, -168.524246
2364.4894126454074, -2.183644, -169.716522
2477.0763559917114, -3.453804, -170.66069
2595.0242113997374, -4.658374, -171.496063
2718.58824273294, -5.817466, -172.197784
2848.035868435802, -6.925463, -172.736755
2983.64724028334, -8.004225, -173.248917
3125.7158496882353, -9.060239, -173.632935
3274.5491628777318, -10.082685, -173.988419
3430.4692863149194, -11.057739, -174.325485
3593.813663804626, -12.053102, -174.75238
3764.9358067924713, -12.987087, -175.002762
3944.206059437656, -13.937397, -175.330841
4132.012400115339, -14.898534, -175.516663
4328.7612810830615, -15.753846, -175.77951
4534.878508128582, -16.652729, -175.894913
4750.810162102798, -17.527992, -176.22998
4977.023564332114, -18.489889, -176.281631
5214.008287999684, -19.326097, -176.55162
5462.277217684343, -20.14945, -176.831848
5722.3676593502205, -21.008291, -176.907379
5994.8425031894085, -21.859509, -177.289719
6280.29144183426, -22.735428, -177.268417
6579.332246575683, -23.700302, -177.245789
6892.612104349695, -24.600536, -177.553299
7220.809018385471, -25.474819, -177.885681
7564.633275546291, -26.358946, -177.826385
7924.828983539178, -27.210861, -178.015808
8302.175681319752, -28.050896, -178.638901
8697.490026177835, -29.104218, -178.789322
9111.627561154895, -29.861427, -178.306671
9545.484566618346, -30.702396, -179.069702
10000, -31.496841, 179.948837
