Frequency [Hz], Amplitude [dB], Phase [deg]
100, -0.043574, 179.683212
104.76157527896652, -0.039788, 179.666687
109.74987654930557, -0.041132, 179.652039
114.97569953977356, -0.042386, 179.624466
120.45035402587824, -0.041009, 179.617157
126.1856883066021, -0.040557, 179.58107
132.19411484660287, -0.043667, 179.555893
138.48863713938732, -0.043453, 179.5616
145.082877849594, -0.04005, 179.531845
151.99110829529332, -0.04083, 179.508728
159.22827933410923, -0.042128, 179.462677
166.81005372000593, -0.044853, 179.460251
174.7528400007683, -0.042485, 179.418503
183.07382802953677, -0.041886, 179.408035
191.79102616724887, -0.041418, 179.387848
200.9233002565048, -0.044433, 179.321838
210.49041445120199, -0.042651, 179.30986
220.51307399030455, -0.042313, 179.283691
231.01297000831605, -0.04255, 179.2314
242.01282647943833, -0.046743, 179.213577
253.53644939701115, -0.040942, 179.160049
265.6087782946687, -0.043379, 179.122498
278.2559402207126, -0.04456, 179.07663
291.50530628251755, -0.041866, 179.038773
305.3855508833416, -0.044009, 178.976151
319.92671377973846, -0.045214, 178.914246
335.1602650938841, -0.045546, 178.841492
351.1191734215131, -0.043574, 178.814331
367.8379771828634, -0.04844, 178.729553
385.3528593710527, -0.047085, 178.673737
403.70172585965537, -0.045964, 178.616425
422.9242874389499, -0.04829, 178.519089
443.0621457583882, -0.047194, 178.437454
464.1588833612782, -0.045951, 178.351105
486.26015800653533, -0.050026, 178.268051
509.413801481638, -0.049956, 178.152573
533.6699231206312, -0.052347, 178.047348
559.0810182512223, -0.052978, 177.931015
585.7020818056667, -0.052734, 177.798462
613.5907273413176, -0.05369, 177.634552
642.807311728432, -0.056231, 177.472107
673.4150657750821, -0.058976, 177.306763
705.4802310718645, -0.061552, 177.118484
739.0722033525775, -0.063842, 176.887817
774.263682681127, -0.067501, 176.648499
811.1308307896873, -0.075522, 176.344589
849.7534359086446, -0.080757, 176.02742
890.2150854450392, -0.089328, 175.659012
932.60334688322, -0.098093, 175.187561
977.0099572992257, -0.112249, 174.651855
1023.5310218990269, -0.132233, 173.980515
1072.2672220103232, -0.167, 173.124466
1123.3240329780276, -0.209171, 171.969254
1176.811952434999, -0.288323, 170.42218
1232.8467394420659, -0.442018, 168.07312
1291.549665014884, -0.809982, 164.210785
1353.0477745798075, -2.039267, 157.252518
1417.4741629268049, -6.869388, 168.606918
1484.9682622544651, -5.793765, -157.323425
1555.6761439304723, -3.411348, -153.342285
1629.7508346206434, -1.854327, -157.023697
1707.352647470692, -1.08333, -161.048615
1788.649529057435, -0.681088, -164.295441
1873.817422860385, -0.454818, -166.752075
1963.0406500402723, -0.318912, -168.695618
2056.5123083486515, -0.231783, -170.160049
2154.4346900318847, -0.176976, -171.299118
2257.0197196339213, -0.142245, -172.239059
2364.4894126454074, -0.111748, -172.965225
2477.0763559917114, -0.09222, -173.564209
2595.0242113997374, -0.076587, -174.090775
2718.58824273294, -0.067675, -174.525665
2848.035868435802, -0.052343, -174.883148
2983.64724028334, -0.042835, -175.204346
3125.7158496882353, -0.034037, -175.4702
3274.5491628777318, -0.030501, -175.714569
3430.4692863149194, -0.021378, -175.945755
3593.813663804626, -0.014966, -176.142502
3764.9358067924713, -0.008154, -176.29068
3944.206059437656, -0.004873, -176.435608
4132.012400115339, 0.005223, -176.561295
4328.7612810830615, 0.01158, -176.667618
4534.878508128582, 0.018836, -176.783722
4750.810162102798, 0.025693, -176.870453
4977.023564332114, 0.035088, -176.947586
5214.008287999684, 0.040566, -177.022842
5462.277217684343, 0.051235, -177.096222
5722.3676593502205, 0.060043, -177.137985
5994.8425031894085, 0.062418, -177.221725
6280.29144183426, 0.074033, -177.283798
6579.332246575683, 0.085032, -177.351837
6892.612104349695, 0.097593, -177.399307
7220.809018385471, 0.110394, -177.438263
7564.633275546291, 0.122376, -177.490067
7924.828983539178, 0.130124, -177.537491
8302.175681319752, 0.141923, -177.570374
8697.490026177835, 0.152096, -177.64212
9111.627561154895, 0.169071, -177.686462
9545.484566618346, 0.175419, -177.72261
10000, 0.191191, -177.792908
